,file,rule_id
77,human-tf/bucket/main 2.tf,aws-s3-ignore-public-acls
78,human-tf/bucket/main 2.tf,aws-s3-no-public-buckets
79,human-tf/bucket/main 2.tf,aws-s3-specify-public-access-block
80,human-tf/bucket_state_import/main 2.tf,aws-s3-block-public-acls
81,human-tf/bucket_state_import/main 2.tf,aws-s3-block-public-policy
82,human-tf/bucket_state_import/main 2.tf,aws-s3-enable-bucket-encryption
83,human-tf/bucket_state_import/main 2.tf,aws-s3-enable-bucket-logging
84,human-tf/bucket_state_import/main 2.tf,aws-s3-enable-versioning
85,human-tf/bucket_state_import/main 2.tf,aws-s3-encryption-customer-key
86,human-tf/bucket_state_import/main 2.tf,aws-s3-ignore-public-acls
87,human-tf/bucket_state_import/main 2.tf,aws-s3-no-public-buckets
88,human-tf/bucket_state_import/main 2.tf,aws-s3-specify-public-access-block
89,human-tf/vpc-vpn-customer_gateway-connection/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
90,human-tf/security_web-instance/main 2.tf,aws-ec2-enable-at-rest-encryption
91,human-tf/security_web-instance/main 2.tf,aws-ec2-enforce-http-token-imds
92,human-tf/security_web-instance/main 2.tf,aws-ec2-no-public-egress-sgr
93,human-tf/security_web-instance/main 2.tf,aws-ec2-no-public-ingress-sgr
94,human-tf/security_web-instance/main 2.tf,aws-ec2-no-public-ingress-sgr
95,human-tf/instance-output_dns/main 2.tf,aws-ec2-enable-at-rest-encryption
96,human-tf/instance-output_dns/main 2.tf,aws-ec2-enforce-http-token-imds
97,human-tf/instance_zone_1/main 2.tf,aws-ec2-enable-at-rest-encryption
98,human-tf/instance_zone_1/main 2.tf,aws-ec2-enforce-http-token-imds
99,human-tf/vpc/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
100,human-tf/instance_count/main 2.tf,aws-ec2-enable-at-rest-encryption
101,human-tf/instance_count/main 2.tf,aws-ec2-enable-at-rest-encryption
102,human-tf/instance_count/main 2.tf,aws-ec2-enable-at-rest-encryption
103,human-tf/instance_count/main 2.tf,aws-ec2-enable-at-rest-encryption
104,human-tf/instance_count/main 2.tf,aws-ec2-enable-at-rest-encryption
105,human-tf/instance_count/main 2.tf,aws-ec2-enforce-http-token-imds
106,human-tf/instance_count/main 2.tf,aws-ec2-enforce-http-token-imds
107,human-tf/instance_count/main 2.tf,aws-ec2-enforce-http-token-imds
108,human-tf/instance_count/main 2.tf,aws-ec2-enforce-http-token-imds
109,human-tf/instance_count/main 2.tf,aws-ec2-enforce-http-token-imds
110,human-tf/security_ssh/main 2.tf,aws-ec2-no-public-egress-sgr
111,human-tf/security_ssh/main 2.tf,aws-ec2-no-public-ingress-sgr
112,human-tf/security_lots/main 2.tf,aws-ec2-add-description-to-security-group-rule
113,human-tf/security_lots/main 2.tf,aws-ec2-add-description-to-security-group-rule
114,human-tf/security_lots/main 2.tf,aws-ec2-add-description-to-security-group-rule
115,human-tf/security_lots/main 2.tf,aws-ec2-add-description-to-security-group-rule
116,human-tf/security_lots/main 2.tf,aws-ec2-add-description-to-security-group-rule
117,human-tf/security_lots/main 2.tf,aws-ec2-add-description-to-security-group-rule
118,human-tf/security_lots/main 2.tf,aws-ec2-no-public-ingress-sgr
119,human-tf/security_lots/main 2.tf,aws-ec2-no-public-ingress-sgr
120,human-tf/security_lots/main 2.tf,aws-ec2-no-public-ingress-sgr
121,human-tf/security_lots/main 2.tf,aws-ec2-no-public-ingress-sgr
122,human-tf/security_lots/main 2.tf,aws-ec2-no-public-ingress-sgr
123,human-tf/security_lots/main 2.tf,aws-ec2-no-public-ingress-sgr
124,human-tf/data_ami-instance/main 2.tf,aws-ec2-enable-at-rest-encryption
125,human-tf/data_ami-instance/main 2.tf,aws-ec2-enforce-http-token-imds
126,human-tf/instance_before_destroy/main 2.tf,aws-ec2-enable-at-rest-encryption
127,human-tf/instance_before_destroy/main 2.tf,aws-ec2-enforce-http-token-imds
128,human-tf/security_ssh-instance/main 2.tf,aws-ec2-enable-at-rest-encryption
129,human-tf/security_ssh-instance/main 2.tf,aws-ec2-enforce-http-token-imds
130,human-tf/security_ssh-instance/main 2.tf,aws-ec2-no-public-egress-sgr
131,human-tf/security_ssh-instance/main 2.tf,aws-ec2-no-public-ingress-sgr
132,human-tf/vpc-gateway/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
133,human-tf/vpc-egress_only_internet_gateway/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
134,human-tf/vpc-subnet-nat/main 2.tf,aws-ec2-no-public-ip-subnet
135,human-tf/vpc-subnet-nat/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
136,human-tf/instance_ignore_tags/main 2.tf,aws-ec2-enable-at-rest-encryption
137,human-tf/instance_ignore_tags/main 2.tf,aws-ec2-enforce-http-token-imds
138,human-tf/db_instance/main 2.tf,aws-rds-enable-deletion-protection
139,human-tf/db_instance/main 2.tf,aws-rds-enable-iam-auth
140,human-tf/db_instance/main 2.tf,aws-rds-enable-performance-insights
141,human-tf/db_instance/main 2.tf,aws-rds-encrypt-instance-storage-data
142,human-tf/db_instance/main 2.tf,aws-rds-specify-backup-retention
